published_fy,pref_code,pref_name,area_code,area_name,direction,overall_rate
R7,27,大阪府,2708,大阪市,流入率,0.27241226215865355
R7,27,大阪府,2708,大阪市,流出率,0.1196928040918056
R7,28,兵庫県,2801,神戸,流入率,0.16739771098714307
R7,28,兵庫県,2801,神戸,流出率,0.1119111385592888
R7,28,兵庫県,2804,東播磨,流入率,0.19918425619726565
R7,28,兵庫県,2804,東播磨,流出率,0.1581663508314337
R7,28,兵庫県,2805,北播磨,流入率,0.1413401657957165
R7,28,兵庫県,2805,北播磨,流出率,0.25967240728754803
R7,28,兵庫県,2808,但馬,流入率,0.06875458129229395
R7,28,兵庫県,2808,但馬,流出率,0.284794302722557
R7,28,兵庫県,2809,丹波,流入率,0.08370696760951257
R7,28,兵庫県,2809,丹波,流出率,0.4144334745098194
R7,28,兵庫県,2810,淡路,流入率,0.0269125543586739
R7,28,兵庫県,2810,淡路,流出率,0.18642990529808245
R7,28,兵庫県,2811,阪神,流入率,0.11533399397725053
R7,28,兵庫県,2811,阪神,流出率,0.17648541170560994
R7,28,兵庫県,2812,播磨姫路,流入率,0.07970419376972382
R7,28,兵庫県,2812,播磨姫路,流出率,0.09779120382151996
R7,29,奈良県,2901,奈良,流入率,0.34704632847732886
R7,29,奈良県,2901,奈良,流出率,0.32638417814237886
R7,29,奈良県,2902,東和,流入率,0.49570770339120207
R7,29,奈良県,2902,東和,流出率,0.3605674150206537
R7,29,奈良県,2903,西和,流入率,0.29932673343626204
R7,29,奈良県,2903,西和,流出率,0.42082826382575156
R7,29,奈良県,2904,中和,流入率,0.3063980820162818
R7,29,奈良県,2904,中和,流出率,0.2787754075451424
R7,29,奈良県,2905,南和,流入率,0.21394729877737462
R7,29,奈良県,2905,南和,流出率,0.47575271547108977
R7,30,和歌山県,3001,和歌山,流入率,0.2618685126173157
R7,30,和歌山県,3001,和歌山,流出率,0.048585298385076525
R7,30,和歌山県,3002,那賀,流入率,0.20315391391910276
R7,30,和歌山県,3002,那賀,流出率,0.5803169870255344
R7,30,和歌山県,3003,橋本,流入率,0.14852109483347442
